"Parameter","Description","Instrument Count","List of Instruments"
"Play shape loop button","Starts or stops the main looping playback that reads the shape and triggers sounds.","1","Hyper Rubix"
"Restart loop button","Resets the playback loop back to its starting position.","1","Hyper Rubix"
"keyboard-navigable per-sticker hyperbar mute grid","Lets you mute or unmute individual stickers/voices in a grid using the keyboard.","1","Hyper Rubix"
"Twist tape select","Chooses the pattern algorithm used to generate automatic twist moves over time.","1","Hyper Rubix"
"Read order select","Sets the direction the playback reader steps through cells, such as forward, reverse, pendulum, or random.","1","Hyper Rubix"
"Pulse rate select","Sets how often the sequencer advances/reads, as a musical note subdivision.","1","Hyper Rubix"
"Automated twists select","Chooses how often the puzzle automatically performs twist moves, or turns automation off.","1","Hyper Rubix"
"Tempo slider 30-300 BPM step 1","Sets the transport/sequencer playback speed in beats per minute.","1","Hyper Rubix"
"Swing slider 0-.42 step .01","Adds rhythmic swing by delaying alternate beats for a shuffled feel.","1","Hyper Rubix"
"Twist density slider .25-1 step .01","Sets how frequently automated twists occur relative to the base rate.","1","Hyper Rubix"
"Size/side select","Chooses the puzzle's grid dimensions, such as 2x2x2x2, 3x3x3x3, or 4x4x4x4.","1","Hyper Rubix"
"8-button boundary-cell face picker","Selects which of the shape's outer faces is active, each mapped to a color and drum voice.","1","Hyper Rubix"
"dynamically rendered turn-plane picker for the selected cell's three internal planes","Lets you choose which internal rotation plane of the selected cell to twist.","1","Hyper Rubix"
"Quarter turn counterclockwise button","Rotates the selected slice/cell a quarter turn counterclockwise.","1","Hyper Rubix"
"Quarter turn clockwise button","Rotates the selected slice/cell a quarter turn clockwise; also the target for incoming MIDI note-on triggers.","1","Hyper Rubix"
"move-history readout","Displays a read-only log of the moves performed so far.","1","Hyper Rubix"
"Scramble 12 button","Randomly scrambles the puzzle with 12 moves.","1","Hyper Rubix"
"Unwind button","Replays the recorded move history in reverse to undo back to the starting state.","1","Hyper Rubix"
"Fourth-axis drift toggle button","Enables a slow automatic rotation drift along the hidden fourth dimension.","1","Hyper Rubix"
"4D projection depth slider 3.4-7 step .1","Adjusts the projection distance used to render the 4D shape into 3D/2D space.","1","Hyper Rubix"
"Cell separation slider 0-.7 step .01","Sets the visual gap/spacing between individual cells of the shape.","1","Hyper Rubix"
"Hyper-sticker scale slider .36-1 step .01","Scales the visual size of the stickers on each cell face.","1","Hyper Rubix"
"Jump dimension button","Randomizes the 4D projection orientation for a sudden visual shift.","1","Hyper Rubix"
"Filter center slider 0-1 step .01","Sets the center frequency point used by the audio filter mapping.","1","Hyper Rubix"
"Body decay slider .02-4s step .01","Sets how long the main resonant body sound takes to decay after a hit.","1","Hyper Rubix"
"Connections-heard select","Chooses which neighboring-cell relationships are audibly linked together, or turns linking off.","1","Hyper Rubix"
"Network level slider 0-.8 step .01","Sets the volume level of sound contributed by networked/connected neighbor cells.","1","Hyper Rubix"
"Interval span slider 0-24 semitones step .25","Sets the pitch range in semitones mapped across the played cells.","1","Hyper Rubix"
"Micro-strum slider 0-.08s step .001","Adds a small timing offset between simultaneous notes to create a strummed effect.","1","Hyper Rubix"
"Tail relationship select","Chooses whether a cell's decay tail is linked to its neighbors or rings independently.","1","Hyper Rubix"
"Neighbor ring slider .02-4s step .01","Sets the independent decay time of a neighboring cell's ring/tail.","1","Hyper Rubix"
"Cell+W warp slider 0-2 step .01","Adjusts how strongly the fourth-dimension (W) position warps the cell's sound or shape.","1","Hyper Rubix"
"Rattlesnake preset toggle button","Switches on the rattlesnake-style percussive voice and its related grain controls.","1","Hyper Rubix"
"Pitch map influence slider 0-2 step .01","Sets how strongly the mapped source data affects pitch.","1","Hyper Rubix"
"Filter motion influence slider 0-2 step .01","Sets how strongly the mapped source data affects filter movement.","1","Hyper Rubix"
"Stereo spread influence slider 0-2 step .01","Sets how strongly the mapped source data affects stereo spread.","1","Hyper Rubix"
"Neighbor response influence slider 0-2 step .01","Sets how strongly neighboring-cell activity influences the sound's response.","1","Hyper Rubix"
"W-depth influence slider 0-2 step .01","Sets how strongly the fourth-dimension (W) depth influences the sound.","1","Hyper Rubix"
"Disorder response influence slider 0-2 step .01","Sets how strongly puzzle disorder/scramble state influences the sound.","1","Hyper Rubix"
"Reset puzzle+parameters button","Restores both the puzzle state and all sound parameters to their defaults.","1","Hyper Rubix"
"Playhead position slider 0-1 step .0005","Sets the current scan position of the playhead along its path.","1","Shape Drum Machine"
"Playhead speed slider 0-1 step .001","Sets how fast the playhead moves along its path, mapped nonlinearly to cycles per second.","1","Shape Drum Machine"
"Loop motion/Ping-pong motion buttons","Chooses whether the playhead loops continuously or bounces back and forth.","1","Shape Drum Machine"
"Subdivisions/side slider 1-16 step 1","Sets how many trigger subdivisions are placed along each side of the shape.","1","Shape Drum Machine"
"Playhead type choice-switch","Chooses how the playhead reads the shape, as points, a line, or a radar sweep.","1","Shape Drum Machine"
"Remove/Add playhead stepper buttons plus a Playhead number slider 1-12 step 1","Adds, removes, or directly sets the number of active playheads.","1","Shape Drum Machine"
"per-playhead relative-spacing track with up to 12 draggable phase markers and per-head forward/reverse toggle buttons, shown/hidden per active head count","Lets you drag each playhead's phase offset and flip its individual playback direction.","1","Shape Drum Machine"
"Equidistant button","Resets all playhead phase spacings to be evenly distributed.","1","Shape Drum Machine"
"Rotation play/pause button","Starts or stops the shape's independent visual rotation animation.","1","Shape Drum Machine"
"Rotate angle slider -180 to 180 step 1 with a 0-degree reset button","Sets the shape's static rotation angle, with a button to reset it to zero.","1","Shape Drum Machine"
"Rotation speed slider 0-4 rev/s step .01 with its own loop/ping-pong and direction toggles","Sets how fast the shape rotates automatically, with its own loop mode and direction controls.","1","Shape Drum Machine"
"Sides/points slider 1-32 step 1","Sets the number of sides/points of the shape, from circle through polygon or star.","1","Shape Drum Machine"
"Contour type choice-switch","Chooses whether the shape outline is a plain polygon or a star.","1","Shape Drum Machine"
"Star depth slider .05-.82 step .01","Sets how deep the star points cut inward, only active in star contour mode.","1","Shape Drum Machine"
"Roundness signed slider -1 to 1 step .005","Curves the shape's edges inward or outward from straight, with a reset to straight.","1","Shape Drum Machine"
"Stretch signed slider -2 to 2 step .01","Stretches the shape taller or wider from its even proportions, with a reset to even.","1","Shape Drum Machine"
"Skew signed slider -2 to 2 step .01","Slants the shape left or right from vertical, with a reset to zero skew.","1","Shape Drum Machine"
"Geometry-to-character slider 0-1 step .01","Sets how strongly the shape's geometry affects the timbral character of triggered sounds.","1","Shape Drum Machine"
"Simultaneous hit cap slider 1-16 step 1","Limits how many drum voices can sound at once from sequenced playback.","1","Shape Drum Machine"
"16-voice clickable drum-map grid for manual preview/audition","Lets you click any of the 16 drum voices to preview its sound manually.","1","Shape Drum Machine"
"Reset shape drums button","Restores all shape-drums parameters to their default settings.","1","Shape Drum Machine"
"keyboard: Space toggles playback, Left/Right arrows move the playhead, Number/QWERT/ASDF/ZXCV keys preview/test the 16 drum voices directly","Provides keyboard shortcuts to start/stop playback, nudge the playhead, and audition the 16 drum voices.","1","Shape Drum Machine"
"Play/pause lattice motion button","Starts or stops the automatic movement of the lattice pattern.","1","Lattice Drum Machine"
"Pattern phase slider 0-1 step .0005","Sets the current position of the lattice pattern along its motion cycle.","1","Lattice Drum Machine"
"Pattern speed slider .01-.8 cyc/s step .005","Sets how fast the lattice pattern moves, in cycles per second.","1","Lattice Drum Machine"
"Pattern direction toggle","Switches the lattice pattern's motion between forward and reverse, plus loop or ping-pong mode.","1","Lattice Drum Machine"
"Pattern direction angle slider 0-90 step .1","Sets the heading angle along which the lattice pattern translates.","1","Lattice Drum Machine"
"Reader line angle slider 0-179.9 step .1","Sets the angle of the reader line that scans across the lattice to trigger sounds.","1","Lattice Drum Machine"
"editable prototile canvas with pointer-draggable corner vertices","Lets you reshape the tiling's prototile by dragging its corner vertices.","1","Lattice Drum Machine"
"Density slider 0-.8 step .01","Sets how densely the lattice tiling pattern is packed.","1","Lattice Drum Machine"
"up to 6 dynamic Shape parameter sliders -.35 to .35 step .005","Adjusts the free shape parameters of the currently selected prototile.","1","Lattice Drum Machine"
"up to 5 dynamic matching-edge curvature sliders -1 to 1 step .01","Adjusts the curvature of the prototile's matching edges.","1","Lattice Drum Machine"
"Drum engine select","Chooses the sound engine used for drum voices, such as FM synthesis or 808/909 samples.","1","Lattice Drum Machine"
"Audition engine button","Plays a quick preview of the currently selected drum engine's sound.","1","Lattice Drum Machine"
"Incidence-to-character slider 0-1 step .01","Sets how strongly the reader's edge/vertex incidence affects the triggered sound's timbre.","1","Lattice Drum Machine"
